#options: 480x360 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=4 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:28.81 aq:23.17 tex:54782 mv:10547 misc:6007 imb:690 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:28.81 aq:23.51 tex:814 mv:180 misc:366 imb:8 pmb:29 smb:653 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:28.81 aq:23.33 tex:12191 mv:3522 misc:631 imb:107 pmb:390 smb:193 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:28.81 aq:24.69 tex:9360 mv:3240 misc:712 imb:57 pmb:360 smb:273 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:32.81 aq:27.45 tex:5207 mv:3156 misc:701 imb:79 pmb:316 smb:295 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:29.33 aq:23.55 tex:14266 mv:4085 misc:601 imb:149 pmb:377 smb:164 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:28.01 aq:22.70 tex:21022 mv:4495 misc:555 imb:156 pmb:386 smb:148 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:26.88 aq:22.74 tex:23311 mv:4471 misc:554 imb:139 pmb:408 smb:143 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:26.07 aq:22.53 tex:24489 mv:4770 misc:525 imb:117 pmb:434 smb:139 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:25.76 aq:21.40 tex:22574 mv:4362 misc:608 imb:109 pmb:406 smb:175 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:25.71 aq:21.02 tex:24404 mv:4289 misc:619 imb:118 pmb:403 smb:169 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:25.62 aq:22.95 tex:16553 mv:3921 misc:670 imb:86 pmb:379 smb:225 d:- ref:0 ;
in:12 out:12 type:P dur:2 cpbdur:2 q:25.52 aq:24.25 tex:15347 mv:3435 misc:698 imb:73 pmb:338 smb:279 d:- ref:0 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:25.34 aq:18.63 tex:73229 mv:5624 misc:131 imb:467 pmb:223 smb:0 d:- ref:0 ;
in:14 out:14 type:P dur:2 cpbdur:2 q:25.23 aq:19.71 tex:26813 mv:4843 misc:568 imb:118 pmb:416 smb:156 d:- ref:0 ;
in:15 out:15 type:P dur:2 cpbdur:2 q:24.93 aq:19.17 tex:29162 mv:4398 misc:576 imb:132 pmb:398 smb:160 d:- ref:0 ;
in:16 out:16 type:P dur:2 cpbdur:2 q:24.61 aq:18.81 tex:33789 mv:4873 misc:602 imb:102 pmb:436 smb:152 d:- ref:0 ;
in:17 out:17 type:P dur:2 cpbdur:2 q:25.60 aq:21.94 tex:18995 mv:3923 misc:690 imb:46 pmb:436 smb:208 d:- ref:0 ;
in:18 out:18 type:P dur:2 cpbdur:2 q:25.54 aq:21.23 tex:30413 mv:4534 misc:645 imb:101 pmb:414 smb:175 d:- ref:0 ;
in:19 out:19 type:P dur:2 cpbdur:2 q:25.50 aq:20.50 tex:26498 mv:4341 misc:697 imb:94 pmb:394 smb:202 d:- ref:0 ;
in:20 out:20 type:P dur:2 cpbdur:2 q:25.53 aq:21.05 tex:29659 mv:4563 misc:634 imb:115 pmb:408 smb:167 d:- ref:0 ;
in:21 out:21 type:P dur:2 cpbdur:2 q:25.35 aq:20.28 tex:29051 mv:4381 misc:616 imb:134 pmb:383 smb:173 d:- ref:0 ;
in:22 out:22 type:P dur:2 cpbdur:2 q:25.38 aq:21.26 tex:21751 mv:4100 misc:653 imb:82 pmb:410 smb:198 d:- ref:0 ;
in:23 out:23 type:P dur:2 cpbdur:2 q:25.34 aq:21.31 tex:16205 mv:3463 misc:668 imb:64 pmb:391 smb:235 d:- ref:0 ;
in:24 out:24 type:P dur:2 cpbdur:2 q:25.35 aq:23.36 tex:17649 mv:3478 misc:681 imb:50 pmb:390 smb:250 d:- ref:0 ;
in:25 out:25 type:P dur:2 cpbdur:2 q:25.35 aq:18.26 tex:95694 mv:5531 misc:159 imb:487 pmb:203 smb:0 d:- ref:0 ;
in:26 out:26 type:P dur:2 cpbdur:2 q:25.23 aq:19.33 tex:25762 mv:3865 misc:653 imb:75 pmb:411 smb:204 d:- ref:0 ;
in:27 out:27 type:P dur:2 cpbdur:2 q:25.03 aq:19.81 tex:21499 mv:3576 misc:653 imb:55 pmb:401 smb:234 d:- ref:0 ;
in:28 out:28 type:P dur:2 cpbdur:2 q:24.86 aq:18.63 tex:25905 mv:3652 misc:691 imb:66 pmb:388 smb:236 d:- ref:0 ;
in:29 out:29 type:P dur:2 cpbdur:2 q:25.79 aq:20.75 tex:17096 mv:3015 misc:713 imb:33 pmb:389 smb:268 d:- ref:0 ;
in:30 out:30 type:P dur:2 cpbdur:2 q:25.73 aq:19.65 tex:17823 mv:3377 misc:720 imb:55 pmb:377 smb:258 d:- ref:0 ;
in:31 out:31 type:P dur:2 cpbdur:2 q:25.60 aq:21.00 tex:27488 mv:3730 misc:670 imb:60 pmb:420 smb:210 d:- ref:0 ;
in:32 out:32 type:P dur:2 cpbdur:2 q:25.54 aq:21.90 tex:15572 mv:2921 misc:739 imb:41 pmb:347 smb:302 d:- ref:0 ;
in:33 out:33 type:P dur:2 cpbdur:2 q:25.37 aq:22.45 tex:16931 mv:3156 misc:641 imb:44 pmb:365 smb:281 d:- ref:0 ;
in:34 out:34 type:P dur:2 cpbdur:2 q:25.24 aq:22.60 tex:16986 mv:3299 misc:675 imb:39 pmb:379 smb:272 d:- ref:0 ;
in:35 out:35 type:P dur:2 cpbdur:2 q:25.22 aq:21.91 tex:19025 mv:3553 misc:694 imb:65 pmb:376 smb:249 d:- ref:0 ;
in:36 out:36 type:P dur:2 cpbdur:2 q:25.06 aq:24.51 tex:15394 mv:3282 misc:716 imb:44 pmb:369 smb:277 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:24.92 aq:18.18 tex:99079 mv:5440 misc:145 imb:517 pmb:173 smb:0 d:- ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:24.78 aq:19.56 tex:23544 mv:4116 misc:652 imb:85 pmb:381 smb:224 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:24.67 aq:17.17 tex:28884 mv:4091 misc:625 imb:173 pmb:345 smb:172 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:24.52 aq:19.54 tex:21770 mv:3445 misc:713 imb:72 pmb:363 smb:255 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:25.27 aq:21.36 tex:17558 mv:3129 misc:729 imb:42 pmb:367 smb:281 d:- ref:0 ;
in:42 out:42 type:P dur:2 cpbdur:2 q:25.20 aq:21.01 tex:24489 mv:3605 misc:682 imb:75 pmb:374 smb:241 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:25.19 aq:20.21 tex:31188 mv:3940 misc:664 imb:122 pmb:343 smb:225 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:25.10 aq:20.46 tex:19970 mv:3671 misc:679 imb:57 pmb:396 smb:237 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:24.98 aq:21.10 tex:24769 mv:3711 misc:688 imb:74 pmb:359 smb:257 d:- ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:24.94 aq:20.88 tex:19841 mv:3741 misc:706 imb:59 pmb:374 smb:257 d:- ref:0 ;
in:47 out:47 type:P dur:2 cpbdur:2 q:24.97 aq:21.96 tex:17943 mv:3575 misc:698 imb:48 pmb:387 smb:255 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:24.88 aq:24.30 tex:17212 mv:4099 misc:681 imb:61 pmb:410 smb:219 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:24.84 aq:19.10 tex:92446 mv:6155 misc:159 imb:452 pmb:238 smb:0 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:24.76 aq:20.36 tex:23453 mv:4312 misc:611 imb:118 pmb:391 smb:181 d:- ref:0 ;
