./data/cet4/00-10/06/cet4_200606.mp3
-48.00	2.40
1479.020020	1537.199951	5818
1638.680054	1696.050049	5737
1558.699951	1615.589966	5689
607.710022	623.460022	1575
650.890015	666.640015	1575
1055.420044	1071.150024	1573
309.359985	325.059998	1570
629.229980	644.929993	1569
670.739990	686.359985	1562
844.719971	860.340027	1562
888.840027	904.460022	1562
1241.599976	1257.219971	1562
1221.250000	1236.869995	1561
465.579987	481.170013	1559
445.720001	461.290009	1557
910.000000	925.570007	1557
165.720001	181.279999	1556
236.320007	251.839996	1552
485.980011	501.489990	1551
1077.939941	1093.449951	1551
273.970001	289.459991	1548
135.619995	151.059998	1544
202.600006	218.039993	1544
866.869995	882.309998	1544
1032.410034	1047.739990	1532
76.400002	91.660004	1525
103.019997	118.250000	1523
1200.349976	1215.390015	1504
